index_acm,index_dblp
2279,764
1231,609
1850,358
957,1043
909,1497
2712,767
958,864
887,166
312,460
2810,292
2099,954
2001,1550
1531,389
2835,995
279,175
182,471
312,1749
2571,1299
685,45
2139,1376
1449,966
903,1170
2,1708
1982,382
1961,1491
1049,177
2746,1946
2783,552
2755,719
181,1306
2787,1425
2712,1022
1879,267
483,597
1726,927
2411,801
569,1014
1548,1860
2367,1374
483,947
2205,1312
2814,144
921,126
90,1955
2832,1181
903,486
1254,1238
2785,840
2429,976
1401,1931
1628,927
2872,1253
2591,974
636,1310
2094,1336
1454,481
469,1843
765,673
1903,987
1961,699
2699,1860
2162,460
217,23
2005,1156
1803,1695
2765,1783
2162,1749
1028,1783
1900,1749
1489,717
2321,1513
2813,1975
2238,1744
2811,1377
352,453
472,555
1222,1770
1525,1313
2101,463
1614,2065
2278,1816
390,1913
1589,251
424,743
792,910
2072,893
1884,61
1411,366
505,2021
7,1744
1134,502
1800,1881
164,536
365,526
1006,559
679,1103
2243,478
177,74
486,1058
644,183
2614,421
373,134
476,757
789,1217
151,960
2652,1292
866,1171
1463,1161
1149,742
2776,1772
1926,289
2342,204
50,1709
2726,86
854,127
2777,1714
2713,1958
486,145
2218,969
2286,1103
296,1189
2459,213
1144,1700
1548,292
1968,649
483,1954
1537,1860
954,1539
2511,1571
828,905
505,666
12,733
1846,1339
1987,1278
1921,695
694,272
1253,1993
2228,1111
2830,1445
2250,870
2864,275
1332,1468
224,1033
2557,1286
2012,180
1279,1312
2648,2084
724,43
2425,1517
1884,116
2197,872
2523,1005
165,695
478,1155
2514,175
962,221
428,516
1348,1196
381,175
420,1335
2593,175
721,280
2432,486
1955,827
2151,473
1454,804
2245,1828
2272,1931
1659,913
386,411
984,1040
2188,476
445,991
2459,481
2378,1539
1792,1186
297,460
478,471
1496,225
2166,205
724,648
490,481
1954,322
2432,849
2874,965
905,171
297,1749
2072,1216
2541,1142
2690,713
1642,1753
1194,1334
1679,854
522,941
186,726
2419,1795
1693,1691
1948,1163
2204,1089
561,1542
1180,1291
2043,1107
317,1303
1190,1871
989,420
2341,1215
2645,165
70,1547
2174,1977
1735,358
1974,640
756,1242
909,252
735,136
2440,1049
420,1027
1929,116
542,495
2076,1038
1821,519
312,1201
2297,219
314,981
816,1148
1308,1839
318,1137
225,680
2742,1508
400,1435
1568,194
1401,1020
1523,717
93,1692
1988,1985
1706,838
2614,1215
1831,1772
858,448
2747,1744
422,1086
2724,1760
2580,1981
1721,301
193,179
1942,1172
1730,269
565,1744
491,812
2615,891
971,1385
205,162
296,1741
412,869
629,1392
2853,655
2412,195
2202,1368
1940,1139
1941,2007
2393,1121
2152,1668
1565,151
1587,1896
401,1511
680,697
2367,1189
1467,932
2109,1604
999,534
818,1691
943,639
621,588
1833,1376
2224,214
2828,1146
1852,342
193,1494
2728,915
2062,1091
594,1774
254,134
2563,2016
1436,1982
560,362
1134,1351
1466,1861
2056,643
2735,1197
1897,61
985,999
2776,969
2726,1377
150,1366
423,737
2212,338
2365,580
2862,1386
2011,1516
296,1312
2885,1491
1124,1171
2201,1798
1900,638
2130,1100
743,1479
1642,1016
84,1025
1446,552
314,1975
1892,117
1850,120
1546,611
2093,1009
725,2081
1700,1236
2597,175
2750,1171
2354,1171
2093,901
2051,1170
1700,418
2263,1992
2726,1753
682,1337
1978,547
1582,547
2627,175
2885,699
1075,221
10,1294
1295,1658
376,1388
2812,76
738,1740
1224,1899
1692,1213
417,113
1394,324
2785,360
1833,1310
66,1468
322,1394
2051,486
2395,2016
2567,1305
1349,1907
466,1294
1281,460
1803,276
1777,1270
2131,2027
1686,859
2162,559
2147,436
884,356
2410,846
1436,869
856,294
159,1120
1281,1749
2542,736
2356,280
1381,115
2051,849
1231,292
1353,1221
1490,1455
86,1436
2394,1861
10,1791
1228,179
1801,1761
1270,1573
1647,1294
594,795
2505,1850
111,1321
735,1414
1282,1583
2598,1260
2770,1744
1503,993
1911,64
2320,232
2367,1741
2825,1158
1453,1815
2754,460
1678,1933
2282,1818
7,1506
282,1445
657,568
1784,1541
466,1791
2109,1109
333,444
2202,1236
297,1201
2085,1654
2754,1749
954,1959
365,1335
903,1913
1753,134
1909,647
2750,997
1085,614
2704,63
2714,522
281,1048
813,1323
567,1856
919,2015
826,1787
492,450
1254,1739
2810,351
2292,1408
2110,613
755,981
2747,1170
2726,64
1315,1318
207,358
1647,1791
1277,797
2842,949
775,1044
117,815
2748,533
2027,736
2713,1707
885,165
969,802
1277,918
884,169
724,705
579,1519
1281,1791
397,1744
990,43
1125,1170
397,468
1006,1744
178,1067
1831,1332
2367,1312
1787,737
1563,1517
2424,799
2783,1900
2829,2016
480,1526
2774,1033
636,201
185,36
470,434
1479,597
1614,4
165,1491
2118,1523
49,1316
365,1027
2813,2021
972,1476
1125,486
37,1427
2538,1264
2259,1849
2288,335
2250,2029
2067,861
419,216
2165,1167
2218,276
2440,877
280,552
1973,179
2503,1162
1396,841
668,139
2427,1288
869,1297
487,966
798,370
1718,1013
842,1608
305,208
1125,849
209,2082
528,751
165,699
1906,1306
2157,888
2618,1283
1376,1491
1925,538
853,1221
2742,531
1393,677
2156,1602
402,467
345,1690
2134,1291
2705,2046
1173,1024
2240,1717
30,1763
2527,175
2833,1413
2421,193
597,2032
1973,1494
1699,208
2117,721
1934,1243
148,1122
380,462
1846,901
25,530
1955,1302
2772,1295
162,10
46,64
2615,1082
612,475
1728,1784
2235,797
1285,460
1686,1558
1136,1091
2867,256
2042,1836
199,1181
478,367
1273,1510
2235,918
2813,666
1376,699
666,14
1285,1749
366,1708
2238,1374
2366,1788
1963,617
424,1541
1735,120
2001,764
1961,1860
925,22
152,2021
88,545
7,1374
2307,1221
192,373
1036,240
532,966
1548,351
1066,2068
2265,177
268,1270
555,546
1410,831
2265,1345
2901,1263
2409,572
277,2029
161,2083
2895,694
2325,1332
631,1480
1869,1466
2187,1812
831,1770
2266,873
1667,2005
1479,1954
1043,606
1986,1004
2175,1923
1325,1258
795,1029
2209,1278
2833,876
1711,18
565,1506
375,857
1169,1886
147,175
2564,873
962,1327
994,84
1087,275
2179,473
1852,78
496,221
931,149
1082,318
2646,1292
1398,29
2111,1133
1348,1376
1864,209
2722,469
671,868
1530,40
389,1155
1371,1215
1448,681
2432,1834
68,16
4,526
2370,956
172,73
87,1463
2774,1719
505,175
2602,417
413,815
1574,1143
1954,610
1672,1449
1976,2089
2165,793
2015,1788
2424,1727
70,1122
483,1934
1054,474
2615,1379
417,533
389,471
2149,1091
1939,2035
2754,1201
2165,806
10,559
2054,975
1997,175
911,1980
690,1486
394,441
423,1896
139,151
2472,441
722,243
2815,255
1330,1294
1006,1170
2558,2026
2515,1161
2854,627
2143,1289
2899,1272
882,501
2865,1661
2739,1441
2238,1913
2621,1156
1456,1648
2132,1931
2168,1625
2205,460
2038,1515
2018,1536
1453,1993
2682,533
2426,284
1006,486
2033,1521
407,1389
2138,756
2205,1749
1728,363
1380,848
2011,1883
1455,1665
961,1130
2332,477
211,1046
151,766
1236,22
2743,233
1647,559
1904,1649
438,981
2614,1516
1330,1791
6,1701
312,1744
1064,625
2767,711
1777,1958
1281,559
2203,80
1504,2065
2759,1237
1378,613
115,304
2210,1143
2025,1134
849,1171
2785,1761
2487,1020
2710,1708
962,1879
2529,1138
717,2048
2842,322
2231,1336
338,1355
2,911
1846,219
2517,1141
2271,1674
2747,1374
1830,1931
2770,1506
35,1438
2230,1498
2142,1385
2009,1795
2864,94
314,2021
565,1374
2182,1686
2632,1922
2162,1744
2051,1913
1187,1313
2238,1739
1331,769
32,1446
2716,1219
2375,926
1846,582
2129,1809
1019,22
599,1385
1954,1175
1572,844
2838,175
2891,1
193,64
2544,1125
1285,1201
2045,889
2246,421
2509,1289
1494,1311
1075,1327
2364,1810
1876,1497
1824,1307
2734,1757
1841,722
209,287
2165,553
1279,460
2583,1066
1466,552
397,1506
163,1339
1300,748
204,64
78,1874
2073,1085
2579,1482
366,1294
2238,1189
1279,1749
222,1774
2897,1239
1737,2075
2881,248
1741,504
11,1941
355,1522
2,1892
2186,2022
314,666
804,1762
1697,582
2051,1834
1566,2085
7,1189
2388,436
2169,1560
1515,807
1238,4
8,1949
2835,1542
1625,800
2146,1963
1231,351
549,1714
1989,703
401,2001
79,1721
1402,354
923,356
2507,1982
1140,1293
579,1899
95,1786
582,1904
2432,468
940,831
1836,1117
807,1204
466,911
578,334
2747,1913
721,1551
2121,1636
2073,427
1887,8
2726,1975
1403,309
109,916
596,1263
2634,1339
1402,609
2735,1916
46,981
2885,1860
2737,1696
947,150
1125,1913
1148,850
486,879
658,168
1647,911
1802,556
636,1052
652,1033
724,643
2394,552
878,63
2321,1242
297,1744
1825,846
2062,1018
677,689
1253,1788
2301,896
2616,1725
2789,1882
611,1237
1664,2032
2770,1374
2707,1025
1981,167
2409,1368
1619,1966
2713,1779
1140,985
383,1531
1587,213
1733,38
268,1958
395,1999
923,169
2192,966
36,1837
2305,614
500,480
2205,1201
2031,1277
594,2064
403,318
1846,1497
2025,1499
2007,1859
2654,1441
2462,453
2053,1453
624,1310
2723,201
997,360
2191,340
2058,979
2388,625
466,1892
488,1422
2246,1215
2704,43
1267,2062
2600,1154
282,1438
2238,1741
7,452
1125,1834
1761,1937
2891,700
1853,708
430,1430
280,1900
2835,805
7,1741
905,905
2076,1167
2162,1170
1914,839
1884,179
1330,559
2753,362
1213,1960
397,1374
1686,194
1954,1177
1642,1319
1891,303
468,1025
1082,430
55,1758
46,1975
1534,675
2043,552
805,1963
2703,2059
1962,2061
129,1047
1918,678
2452,1551
